,Sample,Tot_Phen_Ind,Col_Int_420_520,Col_Int_420_520_620,Hue,Chem_Age_Ind,Tot_Anthocyans,Tot_Anthocyanins,Col_Anthocyanins,Tot_Tannins,DpGl,CyGl,PtGl,PnGl,MvGl,DpGlAc,PtGlAc,PnGlAc,MvGlAc,DpGlCm,PtGlCm,PnGlCm,MvGlCm,MvGlCf
1,M1,33.2,7.06,10.58,0.541,0.076,357,312,59,806,2.65,0.1,5.18,5.53,61.02,0.72,1.01,2.76,11.16,0.67,0.21,1.75,6.75,0.49
2,M2,27.6,6.69,10.14,0.537,0.079,301,261,59,506,3.13,0.13,5.3,4.44,62.9,0.69,0.87,2.63,10.94,0.63,0.22,1.41,6.24,0.47
3,M3,31.1,8.53,12.21,0.514,0.089,335,285,77,719,4.34,0.22,5.57,8.7,58.4,0.63,0.94,2.66,9.28,0.56,0.28,2.11,5.86,0.45
4,M4,36.7,8.84,12.66,0.566,0.067,421,374,78,954,4.65,0.24,6.22,6.03,59.46,0.92,1.22,2.69,10.14,0.5,0.18,1.77,5.5,0.46
5,M5,35.8,8.95,12.72,0.592,0.101,346,288,71,1076,4.75,0.28,6.33,6.68,61.01,0.81,1.03,1.89,9.75,0.35,0.1,1.41,5.15,0.48
6,M6,39.2,11.03,15.03,0.512,0.094,433,365,97,1014,8.24,0.27,8.05,7.97,56.16,0.63,0.99,2.34,6.42,0.91,0.15,1.71,5.62,0.54
7,M7,46.8,12.98,17.21,0.479,0.099,459,383,120,1436,4.26,0.21,5.77,9.13,59.51,0.64,1.07,2.06,7.4,0.43,0.41,2.46,6.04,0.62
8,M8,33.3,8,11.46,0.429,0.059,391,353,83,924,3.99,0.16,6.63,4.89,65.75,0.75,1.02,1.69,8.86,0.45,0.23,1.06,4.09,0.42
9,M9,35.1,7.58,8.53,0.608,0.1,367,305,82,598,4.42,0.21,6.32,7.64,58.78,0.87,1.02,2.57,9.62,0.45,0.14,2.01,5.5,0.45
10,M10,38.8,8.99,10.12,0.563,0.107,442,363,99,606,6.71,0.2,8.48,8.17,56.82,0.69,0.93,2.22,6.54,0.75,0.16,2,5.78,0.57
11,M11,35.5,7.77,8.75,0.6,0.107,367,301,84,611,4.49,0.24,5.8,7.86,59.02,0.84,1.01,2.59,9.33,0.47,0.16,2.09,5.61,0.48
12,M12,31.7,7.32,8.24,0.592,0.113,346,281,79,588,4.13,0.07,6.2,5.15,59.8,0.71,0.99,2.55,10.08,0.8,0.25,1.85,6.8,0.61
13,M13,37.6,9.61,10.77,0.535,0.117,416,334,109,568,3.3,0.3,4.86,11.85,56.68,0.37,0.71,3.31,7.22,0.68,0.2,3.49,6.56,0.48
14,M14,27.9,5.72,6.43,0.631,0.1,314,261,60,453,3.5,0.13,5.39,5.09,61.96,0.73,0.93,2.51,10.32,0.66,0.19,1.85,6.25,0.48
15,M15,33,7.99,8.91,0.554,0.1,399,332,89,538,4.03,0.37,5,14.48,55.96,0.51,0.73,2.58,6.82,0.41,0.17,2.77,5.77,0.42
16,M16,36.7,6.76,7.68,0.685,0.054,849,772,30,480,5.52,0.51,7.18,7.21,57.84,0.97,0.96,1.62,9.99,0.5,0.15,1.79,5.24,0.53
17,M17,37.2,6.78,7.68,0.688,0.049,892,820,32,549,5.71,0.51,7.39,6.42,57.72,0.93,1.03,1.01,9.96,1.63,0.15,1.75,5.3,0.51
18,M18,39.6,7.75,8.73,0.61,0.104,399,329,83,864,3.04,0.25,4.4,13.41,56.81,0.75,0.69,2.37,6.52,0.62,0.17,3.72,6.78,0.47
19,M19,49.2,11.47,13.26,0.609,0.13,486,381,122,1622,4.69,0.34,6.39,8.72,60.04,0.85,0.93,1.37,8.02,0.47,0.13,2.05,5.56,0.42
20,M20,39,9.51,10.8,0.551,0.111,440,359,106,1159,4.53,0.44,5.66,12.62,57.73,0.76,0.82,1.38,6.48,0.47,0.13,2.99,5.55,0.44
21,T21,68.7,20.99,23.33,0.521,0.094,1498,1265,121,529,3.54,1.21,3.84,29.03,44.34,0.32,0.47,2.85,3.11,1.25,0.3,3.75,5.33,0.65
22,T22,52.5,12.97,14.63,0.595,0.066,1254,1116,71,650,4.92,1.21,4.54,24.1,48.3,0.44,0.64,1.57,4.47,1.28,0.17,3.02,4.89,0.45
23,T23,80.2,24.43,28.08,0.491,0.133,849,661,287,2689,5.37,0.92,5.59,20,52.31,0.36,0.61,1.24,3.68,1.4,0.19,3.03,4.82,0.5
24,T24,69.6,22.61,25.44,0.49,0.119,803,644,268,2047,3.91,0.94,4.32,26.6,48.94,0.38,0.46,1.02,2.57,1.45,0.09,3.7,5.27,0.33
25,T25,43.2,12.16,13.73,0.543,0.143,438,334,137,1189,3.93,0.6,4.6,18.99,53.59,0.47,0.62,1.67,4.22,0.8,0.12,3.92,6.03,0.44
26,T26,54.5,16.71,18.78,0.492,0.115,662,535,197,1859,4.4,0.93,4.44,24.15,49.93,0.4,0.43,1.49,3.34,0.59,0.09,3.76,5.67,0.38
27,T27,65.6,18.84,21.07,0.538,0.076,1415,1236,124,1722,4.6,1.42,3.58,29.77,43.14,0.25,0.37,1.84,3.1,1.23,0.41,4.12,5.5,0.65
28,T28,75.1,21.18,23.72,0.521,0.078,1596,1390,139,2116,4.67,1.55,3.76,30.48,43.18,0.26,0.36,1.83,2.99,1.25,0.31,3.69,5.11,0.57
29,T29,74.7,21.04,23.54,0.505,0.076,1641,1433,139,2070,4.64,1.45,3.93,29.71,43.69,0.29,0.39,1.8,2.95,1.18,0.24,3.9,5.29,0.53
30,T30,71.4,19.72,22.09,0.514,0.078,1496,1301,130,2041,4.44,1.48,3.87,29.97,43.33,0.16,0.37,2,3.15,1.3,0.33,3.79,5.16,0.65
